annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
III,42,33,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains ammonium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,43,34,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains aluminium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,43,34,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains aluminium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,44,35,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains stannous fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,44,35,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains stannous fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,45,36,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains Cetylamine hydrofluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,45,36,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains Cetylamine hydrofluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,46,37,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains 3-(N-Hexadecyl-N-2-
hydroxyethylammonio) propylbis
(2-hydroxyethyl) ammonium difluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,46,37,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains 3-(N-Hexadecyl-N-2-
hydroxyethylammonio) propylbis
(2-hydroxyethyl) ammonium difluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,47,38,1,,none,Oral products,"0,15 %
calculated as F.
When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,"[0.15, 0.15]",,"Contains N,N′,N′-tris(polyoxyethylene)-N-hexadecylpropylenediamine
dihydrofluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,48,39,1,,none,Oral products,"0,15 %
calculated as F.
When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,"[0.15, 0.15]",,"Contains octadecenyl-ammonium
fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,49,40,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains sodium fluorosilicate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,49,40,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains sodium fluorosilicate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,50,41,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains potassium fluorosilicate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,50,41,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains potassium fluorosilicate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,51,42,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains ammonium fluorosilicate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,51,42,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains ammonium fluorosilicate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,52,43,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains magnesium fluorosilicate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,52,43,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains magnesium fluorosilicate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,53,44,1,a,label,(a) Hair- products,(a) 2 %,2.0,%,,,"(a) Not to be used in
aerosol dispensers
(sprays)","Contains Dimethylol ethylene
thiourea"
III,53,44,2,b,label,(b) Nail- products,(b) 2 %,2.0,%,,,(b) pH < 4,"Contains Dimethylol ethylene
thiourea"
III,54,45,1,,none,,,,,,,"For purposes other than
inhibiting the development
of microorganisms in the
product. This purpose has to
be apparent from the presentation of the product.
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,55,46,1,,none,Oral products,"0,003 %",0.003,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,56,47,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains nicomethanol hydrofluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
